Action,Keyword status,Campaign,Ad group,Keyword,Match type
Add,Enabled,GASP-1-NonBrand,Ad group 1,"hair extensions seattle",Phrase match
Add,Enabled,GASP-1-NonBrand,Ad group 1,"hair extensions seattle wa",Phrase match
Add,Enabled,GASP-1-NonBrand,Ad group 1,"best hair extensions seattle",Phrase match
Add,Enabled,GASP-1-NonBrand,Ad group 1,"hair extension specialist seattle",Phrase match
Add,Enabled,GASP-1-NonBrand,Ad group 1,"natural looking hair extensions seattle",Phrase match
Add,Enabled,GASP-1-NonBrand,Ad group 1,"seattle hair extensions",Phrase match
Add,Enabled,GASP-1-NonBrand,Ad group 1,"hair extensions specialist near me",Phrase match
Add,Enabled,GASP-1-NonBrand,Ad group 1,"keratin bond extensions seattle",Phrase match
Add,Enabled,GASP-1-NonBrand,Ad group 1,"keratin extensions seattle",Phrase match
Add,Enabled,GASP-1-NonBrand,Ad group 1,"keratin tip extensions seattle",Phrase match
Add,Enabled,GASP-1-NonBrand,Ad group 1,"i tip extensions seattle",Phrase match
Add,Enabled,GASP-1-NonBrand,Ad group 1,"keratin hair extensions",Phrase match
Add,Enabled,GASP-1-NonBrand,Ad group 1,"hand tied extensions seattle",Phrase match
Add,Enabled,GASP-1-NonBrand,Ad group 1,"hand tied hair extensions seattle",Phrase match
Add,Enabled,GASP-1-NonBrand,Ad group 1,"beaded weft extensions seattle",Phrase match
Add,Enabled,GASP-1-NonBrand,Ad group 1,"weft extensions seattle",Phrase match
Add,Enabled,GASP-1-NonBrand,Ad group 1,"hand tied weft extensions",Phrase match
Add,Enabled,GASP-1-NonBrand,Ad group 1,"tape in extensions seattle",Phrase match
Add,Enabled,GASP-1-NonBrand,Ad group 1,"tape in hair extensions seattle",Phrase match
Add,Enabled,GASP-1-NonBrand,Ad group 1,"tape extensions seattle",Phrase match
Add,Enabled,GASP-1-NonBrand,Ad group 1,"tape in extensions near me",Phrase match
Add,Enabled,GASP-1-NonBrand,Ad group 1,"best tape in extensions seattle",Phrase match
Add,Enabled,GASP-1-NonBrand,Ad group 1,"hair extensions for thin hair",Phrase match
Add,Enabled,GASP-1-NonBrand,Ad group 1,"hair extensions for fine hair",Phrase match
Add,Enabled,GASP-1-NonBrand,Ad group 1,"extensions for thin hair seattle",Phrase match
Add,Enabled,GASP-1-NonBrand,Ad group 1,"hair extensions that look natural",Phrase match
Add,Enabled,GASP-1-NonBrand,Ad group 1,"natural hair extensions",Phrase match
