Location,Target Type
"Seattle, WA, USA",City
"Bellevue, WA, USA",City
"Redmond, WA, USA",City
"Kirkland, WA, USA",City
"Sammamish, WA, USA",City
"Issaquah, WA, USA",City
"Mercer Island, WA, USA",City
"Bothell, WA, USA",City
"Woodinville, WA, USA",City
"Renton, WA, USA",City
"Tukwila, WA, USA",City
"SeaTac, WA, USA",City
"Burien, WA, USA",City
"Federal Way, WA, USA",City
"Des Moines, WA, USA",City
"Newcastle, WA, USA",City
"Kenmore, WA, USA",City
"Shoreline, WA, USA",City
"Lake Forest Park, WA, USA",City
"Edmonds, WA, USA",City
"Lynnwood, WA, USA",City
"Mountlake Terrace, WA, USA",City
"Mill Creek, WA, USA",City
"Snoqualmie, WA, USA",City
"North Bend, WA, USA",City
"Medina, WA, USA",City
"Clyde Hill, WA, USA",City
"Yarrow Point, WA, USA",City
"Hunts Point, WA, USA",City
"Beaux Arts Village, WA, USA",City
